,State,Total,id
0,ANDHRA PRADESH,6465,28
1,ARUNACHAL PRADESH,112,12
2,ASSAM,2370,18
3,BIHAR,641,10
4,CHHATTISGARH,7629,22
5,GOA,259,25
6,GUJARAT,7654,24
7,HARYANA,4191,6
8,HIMACHAL PRADESH,584,2
9,JAMMU & KASHMIR,284,1
10,JHARKHAND,1646,20
11,KARNATAKA,11286,29
12,KERALA,8556,32
13,MADHYA PRADESH,12455,23
14,MAHARASHTRA,18914,27
15,MANIPUR,58,14
16,MEGHALAYA,198,17
17,MIZORAM,70,15
18,NAGALAND,41,13
19,ODISHA,4582,21
20,PUNJAB,2356,3
21,RAJASTHAN,4531,8
22,SIKKIM,220,11
23,TAMIL NADU,13485,33
24,TELANGANA,7674,0
25,TRIPURA,728,16
26,UTTAR PRADESH,5464,9
27,UTTARAKHAND,516,5
28,WEST BENGAL,12665,19
29,A & NISLANDS,181,35
30,CHANDIGARH,131,22
31,D & N HAVELI,95,26
32,DAMAN & DIU,46,25
33,DELHI (UT),2526,7
34,LAKSHADWEEP,0,31
35,PUDUCHERRY,493,34
