State,Total,id
Andhra Pradesh,6059,28
Arunachal Pradesh,121,12
Assam,3023,18
Bihar,411,10
Chhattisgarh,6705,22
Goa,273,25
Gujarat,7732,24
Haryana,3665,6
Himachal Pradesh,642,2
Jammu & Kashmir,329,1
Jharkhand,1292,20
Karnataka,10687,29
Kerala,7705,32
Madhya Pradesh,10442,23
Maharashtra,17192,27
Manipur,37,14
Meghalaya,166,17
Mizoram,124,15
Nagaland,34,13
Odisha,3904,21
Punjab,1440,3
Rajasthan,3677,8
Sikkim,263,11
Tamil Nadu,15177,33
Telangana,9017,0
Tripura,677,16
Uttar Pradesh,3518,9
Uttarakhand,152,5
West Bengal,13451,19
A & N Islands,146,35
Chandigarh,123,22
D & N Haveli,55,26
Daman & Diu,36,25
Delhi (UT),2155,7
Lakshadweep,3,31
Puducherry,561,34
